Age,Gender,Ad name,Reach,Impressions,Frequency,Result Type,Results,Cost per result,Amount spent (PKR),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Reporting starts,Reporting ends,Creative
55-64,male,Car insurance conversion campaign | 26 june –,499,865,1.73346693,Messaging conversations started,1,473.7841737,473.7841737,547.7273684,6,78.96402894,0.69364162,6/1/2024,8/27/2024,
65+,female,New Creative Free Ad Website Traffic | Saqib | 27 June,4082,14510,3.55463008,Link clicks,133,3.56017374,473.5031069,32.63288124,133,3.56017374,0.91660924,6/1/2024,8/27/2024,
45-54,male,Raza creative car insurance conversion campaign | 28 june,699,987,1.41201717,Messaging conversations started,1,469.7341996,469.7341996,475.9211748,8,58.71677494,0.81053698,6/1/2024,8/27/2024,
45-54,male,Inspection Image Campaign | 26 July | Engagement,2274,3137,1.37950748,Messaging conversations started,6,77.87640828,467.2584497,148.9507331,19,24.59254998,0.60567421,6/1/2024,8/27/2024,image
25-34,male,Rasha Inspection Campaign | Multiple Adset | 23 July,2729,4411,1.61634298,Messaging conversations started,3,155.7502803,467.250841,105.9285516,9,51.91676011,0.20403537,6/1/2024,8/27/2024,
55-64,male,Creative Change Inspection Campaign | Engagement | 19 July,1341,2386,1.7792692,Messaging conversations started,5,93.00654137,465.0327068,194.9005477,26,17.88587334,1.08968986,6/1/2024,8/27/2024,image
45-54,male,Inspection Campaign | Saqib | 6 June | Multiple adset,1241,2342,1.88718775,Messaging conversations started,6,76.92010462,461.5206277,197.0626079,29,15.9145044,1.2382579,6/1/2024,8/27/2024,image
55-64,male,Car insurance conversion campaign | 26 june,565,871,1.54159292,Messaging conversations started,2,228.5620915,457.124183,524.8268462,7,65.30345471,0.80367394,6/1/2024,8/27/2024,
45-54,male,Car insurance conversion campaign | 26 june,768,1114,1.45052083,Messaging conversations started,5,90.77678379,453.8839189,407.4361929,15,30.25892793,1.3464991,6/1/2024,8/27/2024,
25-34,male,Rasha Inspection Campaign | Multiple Adset | 23 July,3194,5037,1.57701941,Messaging conversations started,1,451.1050213,451.1050213,89.55827305,8,56.38812767,0.1588247,6/1/2024,8/27/2024,image
45-54,male,Inspection Campaign | Saqib | 6 June | Multiple adset,1295,1970,1.52123552,Messaging conversations started,5,88.84573085,444.2286542,225.4967788,17,26.13109731,0.86294416,6/1/2024,8/27/2024,image
25-34,female,Website Traffic | Saqib | 1 June,9011,13007,1.443458,Link clicks,86,5.10902935,439.3765238,33.78000491,86,5.10902935,0.66118244,6/1/2024,8/27/2024,
55-64,male,Car insurance video traffic campaign | 10 july,815,1473,1.80736196,Messaging conversations started,2,216.0921193,432.1842386,293.4040995,6,72.03070643,0.40733198,6/1/2024,8/27/2024,
55-64,male,Inspection Campaign | Saqib | 6 June | Multiple adset,971,1645,1.69412976,Messaging conversations started,4,104.5096465,418.0385861,254.1268,11,38.00350782,0.66869301,6/1/2024,8/27/2024,image
55-64,female,Sale My Car | Traffic Campaign | Saqib | 10th june,7912,13685,1.72965116,Link clicks,138,3.00514708,414.7102967,30.30400414,138,3.00514708,1.00840336,6/1/2024,8/27/2024,
25-34,male,Rasha Inspection Campaign | Multiple Adset | 23 July,2629,4053,1.54165082,,,,414.6134406,102.2979128,6,69.10224009,0.14803849,6/1/2024,8/27/2024,image
25-34,female,New Inspection Campaign | Saqib | 29 June,1292,2402,1.85913313,Messaging conversations started,5,80.88805742,404.4402871,168.3764726,15,26.96268581,0.6244796,6/1/2024,8/27/2024,image
45-54,female,New Creative Free Ad Website Traffic | Saqib | 27 June,7909,15390,1.94588444,Link clicks,112,3.57096833,399.9484525,25.98755377,112,3.57096833,0.72774529,6/1/2024,8/27/2024,
25-34,male,Adnan Suicide Inspection Video Campaign | 25 July,1803,2508,1.39101498,,,,392.2856615,156.4137406,3,130.7618872,0.11961722,6/1/2024,8/27/2024,video
55-64,male,Inspection Campaign | Saqib | 31 May | Creative Change –,943,1643,1.74231177,Messaging conversations started,3,130.4347731,391.3043192,238.1645278,13,30.10033225,0.79123554,6/1/2024,8/27/2024,image
35-44,male,Adnan Suicide Inspection Video Campaign | 25 July,1548,2232,1.44186047,Messaging conversations started,2,189.9837564,379.9675127,170.2363408,8,47.49593909,0.35842294,6/1/2024,8/27/2024,video
45-54,female,Sale My Car | Traffic Campaign | Saqib | 10th june,5615,13913,2.47782725,Link clicks,116,3.25847193,377.9827441,27.16759463,116,3.25847193,0.83375261,6/1/2024,8/27/2024,
35-44,male,Rasha Inspection Campaign | Multiple Adset | 23 July,2299,3650,1.5876468,Messaging conversations started,2,184.1064499,368.2128998,100.8802465,10,36.82128998,0.2739726,6/1/2024,8/27/2024,image
35-44,male,Rasha Inspection Campaign | Multiple Adset | 23 July,1914,3118,1.62904911,Messaging conversations started,3,120.5726992,361.7180977,116.0096529,6,60.28634961,0.19243105,6/1/2024,8/27/2024,image
55-64,male,Raza creative car insurance conversion campaign | 28 june,444,648,1.45945946,,,,348.1607441,537.285099,3,116.0535814,0.46296296,6/1/2024,8/27/2024,
25-34,female,Old Creative Inspection Campaign | Saqib | 24 June,925,1523,1.64648649,Messaging conversations started,5,69.19421277,345.9710639,227.1641916,12,28.83092199,0.78791858,6/1/2024,8/27/2024,image
35-44,male,Rasha Inspection Campaign | Multiple Adset | 23 July,1739,3009,1.73030477,Messaging conversations started,3,114.6688831,344.0066493,114.3259054,7,49.14380704,0.23263543,6/1/2024,8/27/2024,image
65+,male,Lead Generation Inspection Campaign | Saqib | 31 May,950,1260,1.32631579,Meta leads,5,68.74980499,343.7490249,272.8166865,25,13.749961,1.98412698,6/1/2024,8/27/2024,image
18-24,male,Inspection Campaign | Saqib | 5 June | Creative Change,2814,3302,1.17341862,Messaging conversations started,2,170.9271666,341.8543332,103.5294771,15,22.79028888,0.45427014,6/1/2024,8/27/2024,image
65+,female,Sale My Car | Traffic Campaign | Saqib | 10th june,3318,11251,3.39089813,Link clicks,107,3.12119163,333.9675039,29.68336183,107,3.12119163,0.95102658,6/1/2024,8/27/2024,
18-24,female,Car insurance conversion campaign | 26 june,529,800,1.51228733,Messaging conversations started,3,107.9566889,323.8700666,404.8375833,12,26.98917222,1.5,6/1/2024,8/27/2024,
55-64,male,Car insurance video traffic campaign | 10 july,846,1592,1.88179669,Messaging conversations started,3,107.2842801,321.8528402,202.1688695,12,26.82107001,0.75376884,6/1/2024,8/27/2024,
45-54,male,Inspection Campaign | Saqib | 6 June | Multiple adset,827,1493,1.80532044,,,,319.7252778,214.1495498,5,63.94505556,0.33489618,6/1/2024,8/27/2024,image
65+,male,Car insurance conversion campaign | 26 june –,220,421,1.91363636,Messaging conversations started,1,314.5845426,314.5845426,747.2316926,4,78.64613565,0.95011876,6/1/2024,8/27/2024,
35-44,female,Old Creative Inspection Campaign | Saqib | 24 June,750,1147,1.52933333,Messaging conversations started,3,102.0073944,306.0221833,266.8022522,9,34.00246481,0.78465562,6/1/2024,8/27/2024,image
18-24,female,Website Traffic | Saqib | 1 June,7414,10055,1.35621797,Link clicks,73,4.15449634,303.2782328,30.16193265,73,4.15449634,0.72600696,6/1/2024,8/27/2024,
35-44,male,Inspection Campaign | Saqib | 5 June | Creative Change,1393,1571,1.12778177,Messaging conversations started,3,100.0111781,300.0335342,190.982517,10,30.00335341,0.63653724,6/1/2024,8/27/2024,image
55-64,male,Inspection Campaign | Saqib | 6 June | Multiple adset,596,1126,1.88926174,Messaging conversations started,1,299.0081273,299.0081273,265.5489585,9,33.22312526,0.79928952,6/1/2024,8/27/2024,image
45-54,female,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,463,773,1.66954644,Messaging conversations started,3,98.07433518,294.2230055,380.6248455,6,49.03716759,0.77619664,6/1/2024,8/27/2024,video
45-54,male,Raza creative car insurance conversion campaign | 26 june,480,671,1.39791667,Messaging conversations started,4,73.32852288,293.3140915,437.1297936,8,36.66426144,1.19225037,6/1/2024,8/27/2024,
18-24,male,Inspection Image Campaign | 26 July | Engagement,1496,2092,1.39839572,Messaging conversations started,3,97.37460966,292.123829,139.6385416,14,20.86598778,0.66921606,6/1/2024,8/27/2024,image
55-64,male,Lead Generation Inspection Campaign | Saqib | 31 May,1078,1437,1.33302412,Meta leads,4,71.78385219,287.1354088,199.8158725,21,13.6731147,1.46137787,6/1/2024,8/27/2024,image
55-64,male,New Creative Inspection Campaign | Saqib | 22 June,1157,1520,1.31374244,Messaging conversations started,3,94.56529115,283.6958735,186.642022,20,14.18479367,1.31578947,6/1/2024,8/27/2024,image
65+,male,Inspection Campaign | Saqib | 31 May | Creative Change –,615,1129,1.83577236,Messaging conversations started,3,93.85310487,281.5593146,249.3882326,11,25.59630133,0.97431355,6/1/2024,8/27/2024,image
35-44,female,New Inspection Campaign | Saqib | 29 June,829,1604,1.93486128,Messaging conversations started,1,280.0423276,280.0423276,174.5899798,8,35.00529095,0.49875312,6/1/2024,8/27/2024,image
18-24,female,New Inspection Campaign | Saqib | 29 June,909,1468,1.6149615,Messaging conversations started,2,139.5330943,279.0661886,190.0995835,16,17.44163679,1.08991826,6/1/2024,8/27/2024,image
25-34,female,Car insurance conversion campaign | 26 june,422,613,1.45260664,Messaging conversations started,2,139.1623753,278.3247506,454.0371136,7,39.76067866,1.14192496,6/1/2024,8/27/2024,
55-64,male,Car insurance conversion campaign | 26 june,334,458,1.37125749,Messaging conversations started,4,66.06163322,264.2465329,576.9574954,6,44.04108881,1.31004367,6/1/2024,8/27/2024,
18-24,female,Old Creative Inspection Campaign | Saqib | 24 June,766,1071,1.39817232,Messaging conversations started,1,261.9557865,261.9557865,244.5899034,4,65.48894663,0.37348273,6/1/2024,8/27/2024,image
35-44,female,Website Traffic | Saqib | 1 June,3962,6709,1.6933367,Link clicks,52,4.93539962,256.6407801,38.25320913,52,4.93539962,0.77507825,6/1/2024,8/27/2024,
45-54,male,Inspection Campaign | Saqib | 6 June -,26990,27634,1.02386069,Reach,26990,9.46836586,255.5511945,9.24770914,17,15.03242321,0.06151842,6/1/2024,8/27/2024,image
65+,male,Car insurance conversion campaign | 26 june,318,478,1.50314465,Messaging conversations started,1,250.0964023,250.0964023,523.2142308,2,125.0482012,0.41841004,6/1/2024,8/27/2024,
25-34,female,Inspection hasan video campaign | 6th July | Conversion,1007,1896,1.88282026,Messaging conversations started,6,41.02269719,246.1361832,129.818662,17,14.47859901,0.89662447,6/1/2024,8/27/2024,video
55-64,male,Raza creative car insurance conversion campaign | 28 june,369,422,1.14363144,Messaging conversations started,1,245.0353909,245.0353909,580.6525852,4,61.25884774,0.9478673,6/1/2024,8/27/2024,
25-34,female,Car insurance conversion campaign | 26 june,378,580,1.53439153,Messaging conversations started,4,61.1037768,244.4151072,421.4053573,6,40.7358512,1.03448276,6/1/2024,8/27/2024,
18-24,female,Inspection Campaign | Saqib | 31 May | Creative Change –,1039,1665,1.60250241,Messaging conversations started,2,119.2092252,238.4184504,143.1942645,13,18.3398808,0.78078078,6/1/2024,8/27/2024,image
25-34,female,Inspection Campaign | Saqib | 31 May | Creative Change –,687,1035,1.50655022,Messaging conversations started,3,74.18217598,222.5465279,215.0207999,9,24.72739199,0.86956522,6/1/2024,8/27/2024,image
18-24,female,Car insurance conversion campaign | 26 june –,291,427,1.46735395,Messaging conversations started,4,53.76058298,215.0423319,503.6120185,7,30.72033313,1.63934426,6/1/2024,8/27/2024,
45-54,male,Rasha Inspection Campaign | Multiple Adset | 23 July,1323,2138,1.61602419,Messaging conversations started,5,42.82593579,214.129679,100.1541997,10,21.4129679,0.46772685,6/1/2024,8/27/2024,image
65+,male,Car insurance video traffic campaign | 10 july,368,750,2.03804348,Messaging conversations started,1,214.0261748,214.0261748,285.368233,5,42.80523495,0.66666667,6/1/2024,8/27/2024,
65+,male,Update creative inspection campaign | 25 june -,431,768,1.78190255,,,,208.8856436,271.9865151,8,26.11070545,1.04166667,6/1/2024,8/27/2024,image
65+,male,Raza Video Inspection Campaign 2 | Engagement | 19 July,527,1033,1.9601518,Messaging conversations started,1,206.5372197,206.5372197,199.9392253,7,29.5053171,0.67763795,6/1/2024,8/27/2024,video
18-24,female,Raza creative car insurance conversion campaign | 26 june,233,309,1.32618026,Messaging conversations started,3,67.25472659,201.7641798,652.9585106,6,33.6273633,1.94174757,6/1/2024,8/27/2024,
55-64,male,Inspection Image Campaign | 26 July | Engagement,810,1151,1.42098765,Messaging conversations started,2,98.19271601,196.385432,170.6215743,11,17.85322109,0.9556907,6/1/2024,8/27/2024,image
45-54,male,Rasha Inspection Campaign | Multiple Adset | 23 July,741,1198,1.61673414,Messaging conversations started,3,62.80883264,188.4264979,157.284222,5,37.68529958,0.41736227,6/1/2024,8/27/2024,image
65+,male,Car insurance conversion campaign | 26 june,167,277,1.65868263,Messaging conversations started,5,36.80903654,184.0451827,664.4230423,8,23.00564784,2.88808664,6/1/2024,8/27/2024,
65+,male,Inspection hasan video campaign | 6th July | Conversion,687,1443,2.10043668,Messaging conversations started,9,20.11892092,181.0702883,125.4818353,13,13.92848372,0.9009009,6/1/2024,8/27/2024,video
45-54,male,Adnan Suicide Inspection Video Campaign | 25 July,748,1025,1.37032086,,,,179.1966487,174.8259988,2,89.59832436,0.19512195,6/1/2024,8/27/2024,video
25-34,female,Raza Video Inspection Campaign 2 | Engagement | 19 July,751,981,1.30625832,Messaging conversations started,1,178.9150386,178.9150386,182.3802636,6,29.8191731,0.6116208,6/1/2024,8/27/2024,video
25-34,female,Car insurance video traffic campaign | 10 july,543,1122,2.06629834,Messaging conversations started,1,174.8417666,174.8417666,155.8304515,5,34.96835331,0.4456328,6/1/2024,8/27/2024,
55-64,male,Inspection Campaign | Saqib | 6 June | Multiple adset,440,709,1.61136364,Messaging conversations started,2,86.8843418,173.7686836,245.0898217,6,28.96144727,0.84626234,6/1/2024,8/27/2024,image
65+,male,Inspection Campaign | Saqib | 6 June | Multiple adset,432,729,1.6875,,,,172.8901573,237.1607096,6,28.81502622,0.82304527,6/1/2024,8/27/2024,image
25-34,female,New Creative Inspection Campaign | Saqib | 22 June,567,920,1.62257496,Messaging conversations started,6,28.80922483,172.855349,187.8862489,15,11.52368993,1.63043478,6/1/2024,8/27/2024,image
45-54,male,Rasha Inspection Campaign | Multiple Adset | 23 July,949,1457,1.53530032,Messaging conversations started,1,172.0698543,172.0698543,118.0987332,5,34.41397086,0.3431709,6/1/2024,8/27/2024,image
25-34,female,Car insurance conversion campaign | 26 june –,299,427,1.42809365,Messaging conversations started,2,85.55157693,171.1031539,400.7099622,3,57.03438462,0.70257611,6/1/2024,8/27/2024,
18-24,female,Inspection Campaign | Saqib | 6 June | Multiple adset,400,880,2.2,Messaging conversations started,1,167.2806291,167.2806291,190.0916239,6,27.88010484,0.68181818,6/1/2024,8/27/2024,image
25-34,female,Creative Change Inspection Campaign | Engagement | 19 July,527,800,1.51802657,Messaging conversations started,4,41.79391463,167.1756585,208.9695732,8,20.89695732,1,6/1/2024,8/27/2024,image
65+,male,Raza creative car insurance conversion campaign | 28 june,227,306,1.34801762,,,,166.377348,543.7168235,3,55.459116,0.98039216,6/1/2024,8/27/2024,
35-44,female,Raza Video Inspection Campaign 2 | Engagement | 19 July,464,635,1.36853448,,,,165.0739891,259.9590379,7,23.58199844,1.1023622,6/1/2024,8/27/2024,image
55-64,male,Raza creative car insurance conversion campaign | 26 june,231,326,1.41125541,Messaging conversations started,1,164.4155586,164.4155586,504.3422043,4,41.10388965,1.22699387,6/1/2024,8/27/2024,
45-54,female,Website Traffic | Saqib | 1 June,2429,3919,1.61342116,Link clicks,38,4.26599557,162.1078317,41.36459089,38,4.26599557,0.96963511,6/1/2024,8/27/2024,
25-34,female,Inspection Campaign | Saqib | 6 June | Multiple adset,420,762,1.81428571,Messaging conversations started,1,157.3491321,157.3491321,206.4949241,12,13.11242768,1.57480315,6/1/2024,8/27/2024,image
18-24,male,Rasha Inspection Campaign | Multiple Adset | 23 July,1105,1533,1.38733032,Messaging conversations started,1,157.135408,157.135408,102.5018969,3,52.37846933,0.19569472,6/1/2024,8/27/2024,image
65+,male,Creative Change Inspection Campaign | Engagement | 19 July,439,806,1.83599089,Messaging conversations started,2,78.14858784,156.2971757,193.9170914,5,31.25943514,0.62034739,6/1/2024,8/27/2024,image
18-24,female,Inspection Campaign | Saqib | 6 June | Multiple adset,424,746,1.75943396,Messaging conversations started,1,154.7506327,154.7506327,207.4405265,4,38.68765819,0.53619303,6/1/2024,8/27/2024,image
35-44,female,Inspection hasan video campaign | 6th July | Conversion,591,1117,1.89001692,Messaging conversations started,3,51.3578277,154.0734831,137.9350789,5,30.81469662,0.44762757,6/1/2024,8/27/2024,video
25-34,female,Inspection Campaign | Saqib | 6 June | Multiple adset,416,762,1.83173077,,,,153.1773208,201.020106,5,30.63546415,0.65616798,6/1/2024,8/27/2024,image
65+,male,Car insurance video traffic campaign | 10 july,319,701,2.19749216,Messaging conversations started,2,75.71922861,151.4384572,216.032036,5,30.28769144,0.71326676,6/1/2024,8/27/2024,
25-34,female,Car insurance video traffic campaign | 10 july,383,795,2.07571802,,,,146.6595774,184.4774559,6,24.44326291,0.75471698,6/1/2024,8/27/2024,
18-24,female,New Creative Inspection Campaign | Saqib | 22 June,663,852,1.28506787,Messaging conversations started,11,13.13652039,144.5017243,169.6029628,19,7.60535391,2.23004695,6/1/2024,8/27/2024,image
55-64,male,Inspection Campaign | Saqib | 6 June | Multiple adset,336,631,1.87797619,,,,142.3177143,225.5431288,2,71.15885714,0.31695721,6/1/2024,8/27/2024,image
65+,male,Inspection Campaign | Saqib | 6 June | Multiple adset,255,432,1.69411765,,,,139.9974168,324.0680945,6,23.33290281,1.38888889,6/1/2024,8/27/2024,image
18-24,male,Rasha Inspection Campaign | Multiple Adset | 23 July,1279,1767,1.38154808,Messaging conversations started,3,46.51229305,139.5368791,78.96823947,4,34.88421979,0.22637238,6/1/2024,8/27/2024,image
18-24,male,Adnan Suicide Inspection Video Campaign | 25 July,543,822,1.51381215,,,,137.6341175,167.4380992,1,137.6341175,0.1216545,6/1/2024,8/27/2024,video
45-54,male,Inspection Campaign | Saqib | 5 June | Creative Change,469,624,1.33049041,Messaging conversations started,1,137.262871,137.262871,219.9725496,3,45.75429032,0.48076923,6/1/2024,8/27/2024,image
65+,male,Raza creative car insurance conversion campaign | 26 june,120,152,1.26666667,Messaging conversations started,2,67.92830247,135.8566049,893.7934536,3,45.28553498,1.97368421,6/1/2024,8/27/2024,
35-44,female,Car insurance conversion campaign | 26 june –,144,300,2.08333333,,,,134.6036775,448.6789251,,,,6/1/2024,8/27/2024,
35-44,female,Inspection Campaign | Saqib | 31 May | Creative Change –,320,494,1.54375,Messaging conversations started,1,134.4069156,134.4069156,272.0787765,9,14.93410173,1.82186235,6/1/2024,8/27/2024,image
45-54,female,New Inspection Campaign | Saqib | 29 June,271,619,2.28413284,Messaging conversations started,3,44.33131968,132.9939591,214.8529225,10,13.2993959,1.61550889,6/1/2024,8/27/2024,image
18-24,female,Car insurance video traffic campaign | 10 july,415,868,2.09156627,Messaging conversations started,1,130.5180725,130.5180725,150.3664429,1,130.5180725,0.11520737,6/1/2024,8/27/2024,
35-44,female,Inspection Campaign | Saqib | 6 June | Multiple adset,228,364,1.59649123,Messaging conversations started,1,129.9049809,129.9049809,356.8818157,1,129.9049809,0.27472527,6/1/2024,8/27/2024,image
25-34,female,Inspection Campaign | Saqib | 6 June | Multiple adset,307,485,1.57980456,Messaging conversations started,2,64.79643872,129.5928774,267.2018092,4,32.39821936,0.82474227,6/1/2024,8/27/2024,image
65+,male,Car insurance video traffic campaign | 10 july,288,463,1.60763889,Messaging conversations started,2,64.48364977,128.9672995,278.5470832,4,32.24182488,0.86393089,6/1/2024,8/27/2024,
45-54,female,Old Creative Inspection Campaign | Saqib | 24 June,367,486,1.32425068,Messaging conversations started,1,128.6300117,128.6300117,264.670806,5,25.72600234,1.02880658,6/1/2024,8/27/2024,image
65+,male,Inspection Campaign | Saqib | 6 June | Multiple adset,160,306,1.9125,,,,124.7228326,407.5909562,2,62.3614163,0.65359477,6/1/2024,8/27/2024,image
35-44,female,Car insurance conversion campaign | 26 june,139,272,1.95683453,Messaging conversations started,1,123.0688349,123.0688349,452.458952,3,41.02294498,1.10294118,6/1/2024,8/27/2024,
65+,male,Inspection Campaign | Saqib | 6 June | Multiple adset,264,521,1.97348485,Messaging conversations started,2,58.05745303,116.1149061,222.8693015,7,16.58784372,1.34357006,6/1/2024,8/27/2024,image
35-44,female,New Creative Inspection Campaign | Saqib | 22 June,479,569,1.18789144,Messaging conversations started,1,115.6093607,115.6093607,203.1798958,6,19.26822679,1.05448155,6/1/2024,8/27/2024,image
45-54,male,Rasha Inspection Campaign | Multiple Adset | 23 July,649,1073,1.65331279,Messaging conversations started,3,38.41065553,115.2319666,107.3923268,3,38.41065553,0.27958993,6/1/2024,8/27/2024,image
18-24,female,Inspection Campaign | Saqib | 6 June -,10745,12259,1.14090275,Reach,10745,10.57416419,113.6193942,9.26824327,11,10.32903584,0.08972999,6/1/2024,8/27/2024,image
25-34,female,Raza creative car insurance conversion campaign | 26 june,155,208,1.34193548,Messaging conversations started,1,112.5435797,112.5435797,541.0749023,3,37.51452656,1.44230769,6/1/2024,8/27/2024,
18-24,female,Inspection Campaign | Saqib | 6 June | Multiple adset,527,831,1.57685009,,,,111.9061581,134.6644501,3,37.30205268,0.36101083,6/1/2024,8/27/2024,image
25-34,female,Car insurance video traffic campaign | 10 july,304,447,1.47039474,Messaging conversations started,2,55.87651039,111.7530208,250.0067579,2,55.87651039,0.44742729,6/1/2024,8/27/2024,
18-24,male,Rasha Inspection Campaign | Multiple Adset | 23 July,837,1335,1.59498208,,,,110.3829265,82.68384004,6,18.39715441,0.4494382,6/1/2024,8/27/2024,image
35-44,female,Creative Change Inspection Campaign | Engagement | 19 July,375,498,1.328,,,,108.6153196,218.1030514,4,27.1538299,0.80321285,6/1/2024,8/27/2024,image
35-44,female,Car insurance video traffic campaign | 10 july,319,578,1.81191223,Messaging conversations started,3,34.97034763,104.9110429,181.5069946,4,26.22776072,0.69204152,6/1/2024,8/27/2024,
35-44,female,Inspection Campaign | Saqib | 6 June | Multiple adset,220,493,2.24090909,Messaging conversations started,1,103.9306872,103.9306872,210.812753,2,51.9653436,0.40567951,6/1/2024,8/27/2024,image
65+,female,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,256,459,1.79296875,,,,102.9226474,224.2323473,4,25.73066185,0.87145969,6/1/2024,8/27/2024,
18-24,male,Rasha Inspection Campaign | Multiple Adset | 23 July,761,1063,1.39684625,,,,102.2765228,96.21497908,3,34.09217426,0.28222013,6/1/2024,8/27/2024,image
65+,male,New Creative Inspection Campaign | Saqib | 22 June,319,430,1.34796238,Messaging conversations started,3,32.849766,98.549298,229.184414,11,8.95902709,2.55813953,6/1/2024,8/27/2024,image
18-24,female,Lead Generation Inspection Campaign | Saqib | 31 May,727,1077,1.48143054,Meta leads,4,24.27686367,97.10745467,90.16476756,8,12.13843183,0.74280409,6/1/2024,8/27/2024,image
18-24,female,Inspection Campaign | Saqib | 6 June | Multiple adset,232,357,1.5387931,Messaging conversations started,1,94.78855346,94.78855346,265.5141553,2,47.39427673,0.56022409,6/1/2024,8/27/2024,image
35-44,female,Car insurance video traffic campaign | 10 july,160,277,1.73125,Messaging conversations started,1,93.23069648,93.23069648,336.5729115,1,93.23069648,0.36101083,6/1/2024,8/27/2024,
55-64,female,Inspection Video Engagement Campaign | Saqib | 13 June | Creative Change,208,328,1.57692308,,,,92.81007303,282.9575397,,,,6/1/2024,8/27/2024,video
25-34,female,Raza creative car insurance conversion campaign | 28 june,143,160,1.11888112,Messaging conversations started,1,92.3366379,92.3366379,577.1039869,1,92.3366379,0.625,6/1/2024,8/27/2024,
35-44,female,Inspection Campaign | Saqib | 6 June | Multiple adset,176,205,1.16477273,,,,88.21420243,430.3131826,,,,6/1/2024,8/27/2024,image
65+,male,Raza creative car insurance conversion campaign | 28 june,130,160,1.23076923,,,,86.2386674,538.9916712,4,21.55966685,2.5,6/1/2024,8/27/2024,
18-24,female,Raza Video Inspection Campaign 2 | Engagement | 19 July,304,597,1.96381579,Messaging conversations started,1,84.48432834,84.48432834,141.5147878,4,21.12108208,0.67001675,6/1/2024,8/27/2024,video
65+,male,Inspection Campaign | Saqib | 6 June | Multiple adset,212,310,1.46226415,,,,83.94825025,270.8008073,1,83.94825025,0.32258065,6/1/2024,8/27/2024,image
35-44,female,Car insurance video traffic campaign | 10 july,224,458,2.04464286,,,,83.66432376,182.673196,,,,6/1/2024,8/27/2024,
35-44,female,Car insurance conversion campaign | 26 june,147,226,1.53741497,,,,83.42532504,369.1386064,1,83.42532504,0.44247788,6/1/2024,8/27/2024,
18-24,female,Inspection hasan video campaign | 6th July | Conversion,463,1003,2.1663067,Messaging conversations started,3,27.36621417,82.09864252,81.85308327,8,10.26233032,0.79760718,6/1/2024,8/27/2024,video
55-64,male,Inspection Campaign | Saqib | 6 June -,7739,8472,1.09471508,Reach,7739,10.22752472,79.15081383,9.34263619,5,15.83016277,0.05901794,6/1/2024,8/27/2024,image
35-44,female,Update creative inspection campaign | 25 june -,136,264,1.94117647,Messaging conversations started,1,78.45680931,78.45680931,297.1848837,2,39.22840465,0.75757576,6/1/2024,8/27/2024,image
45-54,female,Raza Video Inspection Campaign 2 | Engagement | 19 July,208,260,1.25,,,,77.26421375,297.1700529,5,15.45284275,1.92307692,6/1/2024,8/27/2024,video
55-64,male,Rasha Inspection Campaign | Multiple Adset | 23 July,523,691,1.32122371,,,,76.42066301,110.5943025,,,,6/1/2024,8/27/2024,image
25-34,female,Inspection Campaign | Saqib | 6 June -,8160,8160,1,Reach,8160,9.26017688,75.56304335,9.26017688,3,25.18768112,0.03676471,6/1/2024,8/27/2024,image
35-44,female,Inspection Campaign | Saqib | 6 June | Multiple adset,112,184,1.64285714,,,,75.00016171,407.6095745,,,,6/1/2024,8/27/2024,image
18-24,female,Update creative inspection campaign | 25 june -,136,268,1.97058824,Messaging conversations started,1,74.86565211,74.86565211,279.3494482,,,,6/1/2024,8/27/2024,image
25-34,female,Update creative inspection campaign | 25 june -,255,339,1.32941176,,,,74.33695397,219.2830501,1,74.33695397,0.29498525,6/1/2024,8/27/2024,image
25-34,female,Inspection Campaign | Saqib | 6 June | Multiple adset,192,383,1.99479167,,,,74.18125182,193.6847306,3,24.72708394,0.78328982,6/1/2024,8/27/2024,image
18-24,female,Inspection Campaign | Saqib | 6 June | Multiple adset,240,407,1.69583333,Messaging conversations started,2,36.88090509,73.76181017,181.2329488,5,14.75236203,1.22850123,6/1/2024,8/27/2024,image
35-44,female,Raza creative car insurance conversion campaign | 28 june,66,132,2,Messaging conversations started,1,73.33525038,73.33525038,555.5700786,,,,6/1/2024,8/27/2024,
25-34,female,Inspection Image Campaign | 26 July | Engagement,267,335,1.25468165,,,,72.71169623,217.0498395,2,36.35584812,0.59701493,6/1/2024,8/27/2024,image
25-34,female,Inspection Campaign | Saqib | 5 June | Creative Change,216,255,1.18055556,,,,71.04244598,278.5978274,3,23.68081533,1.17647059,6/1/2024,8/27/2024,image
35-44,female,Inspection Campaign | Saqib | 6 June | Multiple adset,76,180,2.36842105,,,,70.27802491,390.4334717,1,70.27802491,0.55555556,6/1/2024,8/27/2024,image
55-64,male,Rasha Inspection Campaign | Multiple Adset | 23 July,210,324,1.54285714,Messaging conversations started,1,70.23106547,70.23106547,216.7625477,2,35.11553273,0.61728395,6/1/2024,8/27/2024,image
45-54,female,Car insurance video traffic campaign | 10 july,96,140,1.45833333,Messaging conversations started,1,69.94149838,69.94149838,499.5821313,1,69.94149838,0.71428571,6/1/2024,8/27/2024,
45-54,female,Car insurance conversion campaign | 26 june –,76,103,1.35526316,,,,66.93734331,649.8771195,,,,6/1/2024,8/27/2024,
